Name,Price,Category,Sub category,Quantity,Shelflife,expiry date
Fresh Watermelon (Tarbooj),60,Fruits & Vegetables,Fruits & Vegetables,1 pc,20,20-04-2023
Fresh Pomegranate (Anar),225,Fruits & Vegetables,Fruits & Vegetables,4 pcs,18,18-04-2023
Apple Royal Gala (Seb),225,Fruits & Vegetables,Fruits & Vegetables,4 Pcs,33,03-05-2023
Fresh Pear (Nashpati),200,Fruits & Vegetables,Fruits & Vegetables,4 pcs,15,15-04-2023
Fresh Muskmelon (Kharbooja),60,Fruits & Vegetables,Fruits & Vegetables,1 pc,12,12-04-2023
Fresh Banana (Kela) Elaichi,80,Fruits & Vegetables,Fruits & Vegetables,6 Pcs,7,07-04-2023
Fresh Orange (Santra) Imported,175,Fruits & Vegetables,Fruits & Vegetables,4 pcs,36,06-05-2023
Apple Red Delicious,180,Fruits & Vegetables,Fruits & Vegetables,4 Pcs,28,28-04-2023
Fresh Kiwi,125,Fruits & Vegetables,Fruits & Vegetables,3 pcs,25,25-04-2023
Fresh Papaya (Papita),80,Fruits & Vegetables,Fruits & Vegetables,1 pc,10,10-04-2023
Fresh Apple Green,250,Fruits & Vegetables,Fruits & Vegetables,4 U,24,24-04-2023
Fresh Raw Mango,95,Fruits & Vegetables,Fruits & Vegetables,400 gm,5,05-04-2023
Fresh Sweet Lime (Mosambi),65,Fruits & Vegetables,Fruits & Vegetables,4 U,13,13-04-2023
Fresh Dragon Fruit (Pitaya),90,Fruits & Vegetables,Fruits & Vegetables,1 pc,10,10-04-2023
Fresh Guava (Peru),55,Fruits & Vegetables,Fruits & Vegetables,4 U,36,06-05-2023
Fresh Indian Gooseberry (Amla),40,Fruits & Vegetables,Fruits & Vegetables,250 gm,15,15-04-2023
Sweet Tamarind (Thailand),125,Fruits & Vegetables,Fruits & Vegetables,200 gm,21,21-04-2023
Fresh Apple (Seb) Washington,350,Fruits & Vegetables,Fruits & Vegetables,4 pcs,26,26-04-2023
Fresh Sapota (Chikku),125,Fruits & Vegetables,Fruits & Vegetables,6 pcs,12,12-04-2023
Robusta Banana (Kela),40,Fruits & Vegetables,Fruits & Vegetables,6 Pcs,6,06-04-2023
Raw Banana (Kela) Madras,45,Fruits & Vegetables,Fruits & Vegetables,4 pcs,8,08-04-2023
Fresh Pear - Indian,150,Fruits & Vegetables,Fruits & Vegetables,4 U,10,10-04-2023
Apple Shimla (Seb),160,Fruits & Vegetables,Fruits & Vegetables,4 Pcs,29,29-04-2023
Plum Indian,75,Fruits & Vegetables,Fruits & Vegetables,250 gm,5,05-04-2023
Fresh Onion (Pyaaj),90,Fruits & Vegetables,Fruits & Vegetables,3 kg,68,07-06-2023
Fresh Potato (Aloo),100,Fruits & Vegetables,Fruits & Vegetables,2 kg,15,15-04-2023
Coconut,40,Fruits & Vegetables,Fruits & Vegetables,1 U,95,04-07-2023
Garlic (Lahsun),35,Fruits & Vegetables,Fruits & Vegetables,200 gm,34,04-05-2023
Fresh Tomato (Tamaatar),35,Fruits & Vegetables,Fruits & Vegetables,500 gm,10,10-04-2023
Fresh Lemon (Nimboo),40,Fruits & Vegetables,Fruits & Vegetables,5 pcs,30,30-04-2023
Ginger (Adrak),20,Fruits & Vegetables,Fruits & Vegetables,200 gm,25,25-04-2023
Fresh Button Mushrooms,60,Fruits & Vegetables,Fruits & Vegetables,200 gm,4,04-04-2023
