Name,Price,Category,SubCategory,Quantity,Shelflife,expiry date
Premia Badam (Almonds),451,Grocery,Grocery/Dry Fruits,500 gm,140,18-08-2023
Nutraj California Almonds (Badam),599,Grocery,Dry Fruits,500 gm,165,12-09-2023
Chana Dal,49,Grocery,Dals,500 gm,60,30-05-2023
Rajma White,112,Grocery,Pulses,500 gm,445,18-06-2024
Rajma Kashmiri Red,101,Grocery,Pulses,500 gm,206,23-10-2023
Premia Mamra Badam,634,Grocery,Dry Fruits,200 gm,300,25-01-2024
Tata Sampann Chana Dal,64,Grocery,Dals,500 gm,287,12-01-2024
Rajma Red Small,61,Grocery,Pulses,500 gm,254,10-12-2023
Nutraj Almond,299,Grocery,Dry Fruits,200 gm,247,03-12-2023
Satyam Rajma Pink,149,Grocery,Pulses,500 gm,301,26-01-2024
KMK Almond Mamra (Badam),750,Grocery,Dry Fruits,200 gm,222,08-11-2023
DMart Healthy Choice Unpolished Chana Dal,117,Grocery,Dals,1 kg,56,26-05-2023
Satyam Rajma Sharmili,129,Grocery,Pulses,500 gm,178,25-09-2023
Satyam Chana Dal,77,Grocery,Dals,500 gm,50,20-05-2023
Tata Sampann 100% Organic Unpolished Chana Dal,190,Grocery,Dals,1 kg,48,18-05-2023
KMK Almond American (Badam),258,Grocery,Dry Fruits,200 gm,147,25-08-2023
Tata Sampann Organic Unpolished Rajma Red,142,Grocery,Pulses,500 gm,226,12-11-2023
DMart Premia Almonds Salted,200,Grocery,Grocery/Dry Fruits,100 gm,96,05-07-2023
ProV Select California Almonds,749,Grocery,Dry Fruits,500 gm,359,24-03-2024
ProV Select California Independence,1349,Grocery,Dry Fruits,1 kg,264,20-12-2023
Moong Dal,71,Grocery,Dals,500 gm,159,06-09-2023
Nutraj Cashews,699,Grocery,Dry Fruits,500 gm,241,27-11-2023
Premia Regular Kaju (Cashews) - 320,121,Grocery,Grocery/Dry Fruits,100 gm,189,06-10-2023
Moong Dal Chilti,70,Grocery,Dals,500 gm,121,30-07-2023
Tata Sampann Moong Dal,175,Grocery,Dals,1 kg,133,11-08-2023
Kalbavi Cashews (Kaju),650,Grocery,Dry Fruits,500 gm,170,17-09-2023
Premia Kaju Tukda (Cashews),129,Grocery,Grocery/Dry Fruits,100 gm,145,23-08-2023
Chowli Big,64,Grocery,Pulses,500 gm,156,03-09-2023
Chowli Premium,82,Grocery,Pulses,500 gm,346,11-03-2024
Premia Kaju,552,Grocery,Dry Fruits,500 gm,285,10-01-2024
Chowli Small,62,Grocery,Pulses,500 gm,179,26-09-2023
Premia Cashew Broken,537,Grocery,Dry Fruits,500 gm,188,05-10-2023
DMart Healthy Choice Unpolished Moong Dal,160,Grocery,Dals,1 kg,120,29-07-2023
Premia Kaju Special (Cashews),140,Grocery,Grocery/Dry Fruits,100 gm,200,17-10-2023
Kokan Gem Goa Cashew Classic (Kaju),650,Grocery,Dry Fruits,500 gm,226,12-11-2023
Kokan Gem Goa Cashew Premium (Kaju),750,Grocery,Dry Fruits,500 gm,214,31-10-2023
Tata Sampann Moong Chilka,84,Grocery,Dals,500 gm,251,07-12-2023
Chowli Red,77,Grocery,Pulses,500 gm,10,10-04-2023
Satyam Moong Dal,109,Grocery,Dals,500 gm,163,10-09-2023
Tata Sampann 100% Organic Unpolished Moong Dal,275,Grocery,Dals,1 kg,214,31-10-2023
KMK Cashew Nut (Kaju),325,Grocery,Dry Fruits,200 gm,300,25-01-2024
Premia Premium Kaju (Cashews) - 210,168,Grocery,Grocery/Dry Fruits,100 gm,246,02-12-2023
24 Mantra Organic Moong Dal,135,Grocery,Dals,500 gm,151,29-08-2023
Satyam Moong Chilti,100,Grocery,Dals,500 gm,187,04-10-2023
DMart Premia Cashews Salted,215,Grocery,Grocery/Dry Fruits,100 gm,249,05-12-2023
Kokan Gem Goa Cashews Tukda,550,Grocery,Dry Fruits,500 gm,199,16-10-2023
Satyam Chowla,126,Grocery,Pulses,500 gm,145,23-08-2023
Nutraj Broken Cashew,499,Grocery,Dry Fruits,400 gm,166,13-09-2023
